2022-12-15 17:42:15,282 INFO    StreamThr :15039 [internal.py:wandb_internal():90] W&B internal server running at pid: 15039, started at: 2022-12-15 17:42:15.276506
2022-12-15 17:42:15,297 DEBUG   HandlerThread:15039 [handler.py:handle_request():139] handle_request: status
2022-12-15 17:42:15,304 DEBUG   SenderThread:15039 [sender.py:send_request():317] send_request: status
2022-12-15 17:42:15,316 DEBUG   SenderThread:15039 [sender.py:send():303] send: header
2022-12-15 17:42:15,317 INFO    WriterThread:15039 [datastore.py:open_for_write():75] open: /home/userfs/j/jrs596/scripts/Elodea/wandb/run-20221215_174215-27irfd9r/run-27irfd9r.wandb
2022-12-15 17:42:15,368 DEBUG   SenderThread:15039 [sender.py:send():303] send: run
2022-12-15 17:42:15,880 INFO    SenderThread:15039 [dir_watcher.py:__init__():216] watching files in: /home/userfs/j/jrs596/scripts/Elodea/wandb/run-20221215_174215-27irfd9r/files
2022-12-15 17:42:15,882 INFO    SenderThread:15039 [sender.py:_start_run_threads():931] run started: 27irfd9r with start time 1671126135.283151
2022-12-15 17:42:15,887 DEBUG   SenderThread:15039 [sender.py:send():303] send: summary
2022-12-15 17:42:15,895 INFO    SenderThread:15039 [sender.py:_save_file():1171] saving file wandb-summary.json with policy end
2022-12-15 17:42:15,900 DEBUG   HandlerThread:15039 [handler.py:handle_request():139] handle_request: check_version
2022-12-15 17:42:15,902 DEBUG   SenderThread:15039 [sender.py:send_request():317] send_request: check_version
2022-12-15 17:42:16,050 DEBUG   HandlerThread:15039 [handler.py:handle_request():139] handle_request: run_start
2022-12-15 17:42:16,056 DEBUG   HandlerThread:15039 [system_info.py:__init__():31] System info init
2022-12-15 17:42:16,057 DEBUG   HandlerThread:15039 [system_info.py:__init__():46] System info init done
2022-12-15 17:42:16,062 INFO    HandlerThread:15039 [system_monitor.py:start():150] Starting system monitor
2022-12-15 17:42:16,065 INFO    HandlerThread:15039 [system_monitor.py:probe():171] Collecting system info
2022-12-15 17:42:16,066 INFO    SystemMonitor:15039 [system_monitor.py:_start():116] Starting system asset monitoring threads
2022-12-15 17:42:16,072 INFO    SystemMonitor:15039 [interfaces.py:start():168] Started cpu
2022-12-15 17:42:16,082 INFO    SystemMonitor:15039 [interfaces.py:start():168] Started disk
2022-12-15 17:42:16,087 INFO    SystemMonitor:15039 [interfaces.py:start():168] Started gpu
2022-12-15 17:42:16,091 INFO    SystemMonitor:15039 [interfaces.py:start():168] Started memory
